#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,xorg-xrandr,"for setting screen output and size."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
A,lf-git,"is an extensive terminal file manager that everyone likes."
,bc,"is used for a dropdown calculator."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
,gnome-keyring,"serves as the system keyring."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,neovim,"a tidier vim with some useful features"
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,newsboat,"is a terminal RSS client."
A,brave-bin,"is an elegant browser with built-in adblocking, tor and other features."
A,vieb-bin,"electron powered vim based browser"
,lynx,"a terminal browser."
A,nodejs,"uses Google's V8 engine to execute code outside of the browser."
A,npm,"a package manager for javascript."
A,docker,"is a utility to pack, ship and run any application as a lightweight container."
A,docker-compose,"runs multi-container applications on Docker."
A,mongosh-bin,"a command line interface for managing mongodb databases"
A,httpie,"HTTPie is a cli HTTP client."
A,postgresql,"a relational database management system for sql"
A,nitrogen,"Desktop wallpaper manager."
A,python-pip,"package manager for python."
A,python-pynvim,"a python client for nvim."
,noto-fonts-emoji,"is an emoji font."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio-alsa,"is the audio system."
,pulsemixer,"is an audio controller."
,pamixer,"is a command-line audio interface."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,maim,"can take quick screenshots at your request."
,abook,"is an offline addressbook usable by neomutt."
,unclutter,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,wireframesketcher,"quickly create wireframes, mockups and prototypes."
A,staruml,"gui for uml modeling"
G,https://aur.archlinux.org/taiga-hg.git,"local kanban for personal use."
A,taskell,"cli kanban manager for linux."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-mupdf,"allows mupdf pdf compatibility in zathura."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
A,htop-vim-git,"is a graphical and colorful system monitor."
G,https://github.com/LukeSmithxyz/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/ashmagill/dwm.git,"is the window manager."
A,mutt-wizard-git,"is a light-weight terminal-based email system."
A,thunderbird,"a free and open-source cross-platform email client"
A,mingo-bin,"a MongoDB GUI based on electron from developers for developers."
A,beekeeper-studio-bin,"a modern and easy to use SQL client for MySQL, Postgres, SQLite, SQL Server, and more."
A,insomnia-bin,"a cross-platform HTTP and GraphQL Client."
A,scribus,"a page layout program."
A,inkscape,"a vector graphics editor."
A,gimp,"a raster graphics editor used for image manipulation and image editing."
A,blender,"a graphics editor for 3D models and animations."
,slock,"allows you to lock your computer, and quickly unlock with your password."
